"species","p_value","q_value","kingdom","phylum","class","order","family","genus"
"Actinobaculum_sp_oral_taxon_183",0.23409532885097,0.643077390399694,"Bacteria","Actinobacteria","Actinomycetia","Actinomycetales","Actinomycetaceae","Actinobaculum"
"Actinomyces_bouchesdurhonensis",0.411232306837485,0.727400925838693,"Bacteria","Actinobacteria","Actinomycetia","Actinomycetales","Actinomycetaceae","Actinomyces"
"Actinomyces_graevenitzii",0.576032041307988,0.831575667476483,"Bacteria","Actinobacteria","Actinomycetia","Actinomycetales","Actinomycetaceae","Actinomyces"
"Actinomyces_oris",0.152943758969742,0.623849173981767,"Bacteria","Actinobacteria","Actinomycetia","Actinomycetales","Actinomycetaceae","Actinomyces"
"Actinomyces_sp_ICM47",0.111913171432367,0.611945762102077,"Bacteria","Actinobacteria","Actinomycetia","Actinomycetales","Actinomycetaceae","Actinomyces"
"Adlercreutzia_equolifaciens",0.537041589235324,0.796378173065624,"Bacteria","Actinobacteria","Coriobacteriia","Eggerthellales","Eggerthellaceae","Adlercreutzia"
"Agathobaculum_butyriciproducens",0.06782124709594,0.600750593146475,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","Agathobaculum"
"Akkermansia_muciniphila",0.259158880412494,0.650512032222878,"Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","Akkermansiaceae","Akkermansia"
"Akkermansia_sp_KLE1798",0.0814792858674399,0.600750593146475,"Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","Akkermansiaceae","Akkermansia"
"Alistipes_communis",0.189782690953837,0.63570185279367,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes"
"Alistipes_finegoldii",0.77131973081788,0.932466105746319,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes"
"Alistipes_ihumii",0.514658340134133,0.783291375552983,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes"
"Alistipes_indistinctus",0.0369070032756581,0.600750593146475,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes"
"Alistipes_onderdonkii",0.279101719533935,0.662866583893095,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes"
"Alistipes_putredinis",0.139354293971099,0.623849173981767,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes"
"Alistipes_senegalensis",0.675598781748016,0.874869787523166,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes"
"Alistipes_SGB2300",0.178997404638168,0.63570185279367,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes"
"Alistipes_shahii",0.895829514783736,0.975311615910573,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes"
"Alistipes_sp_AF17_16",0.306840850600758,0.690000859087193,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes"
"Alistipes_timonensis",0.0808796773819558,0.600750593146475,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes"
"Anaerobutyricum_hallii",0.191154432082178,0.63570185279367,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Anaerobutyricum"
"Anaerobutyricum_soehngenii",0.0417629901243161,0.600750593146475,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Anaerobutyricum"
"Anaerococcus_obesiensis",0.775164843073586,0.933685260880045,"Bacteria","Firmicutes","Tissierellia","Tissierellales","Peptoniphilaceae","Anaerococcus"
"Anaerofilum_hominis",0.240029437739042,0.643077390399694,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","Anaerofilum"
"Anaerofustis_stercorihominis",0.0134420624463942,0.600750593146475,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Eubacteriaceae","Anaerofustis"
"Anaeromassilibacillus_senegalensis",0.00425127501611909,0.357714426356306,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","Anaeromassilibacillus"
"Anaerostipes_caccae",0.732603778698512,0.905190390364694,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Anaerostipes"
"Anaerostipes_hadrus",0.33708280475048,0.690000859087193,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Anaerostipes"
"Anaerotignum_faecicola",0.724643661334635,0.901736935762208,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Anaerotignum"
"Anaerotruncus_colihominis",0.289306780360457,0.673524480760116,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","Anaerotruncus"
"Anaerotruncus_massiliensis",0.628639368275651,0.859091851309416,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","Anaerotruncus"
"Anaerotruncus_rubiinfantis",0.222275850729839,0.638636468682318,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","Anaerotruncus"
"Anaerovorax_odorimutans",0.0031528814958141,0.309507866839084,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Eubacteriales_Family_XIII_Incertae_Sedis","Anaerovorax"
"bacterium_210820_DFI_6_37",0.106084776902305,0.611945762102077,"Bacteria","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified"
"bacterium_210917_DFI_7_65",0.309774112780068,0.690000859087193,"Bacteria","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified"
"bacterium_210917_SL_2_15",0.817587813153553,0.943346982929685,"Bacteria","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified"
"Bacteroides_caccae",0.530058629944982,0.792122301600063,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides"
"Bacteroides_cellulosilyticus",0.0795806654780159,0.600750593146475,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides"
"Bacteroides_clarus",0.691391700495455,0.883361630351026,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides"
"Bacteroides_eggerthii",0.717580546814076,0.898462687636083,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides"
"Bacteroides_faecis",0.944245678365674,0.988832259693554,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides"
"Bacteroides_finegoldii",0.0580692274738611,0.600750593146475,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides"
"Bacteroides_fragilis",0.394663582495869,0.723006410823893,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides"
"Bacteroides_intestinalis",0.366978968362972,0.706374550215002,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides"
"Bacteroides_nordii",0.155940819949783,0.623849173981767,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides"
"Bacteroides_ovatus",0.0550188110445763,0.600750593146475,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides"
"Bacteroides_salyersiae",0.0733891803206934,0.600750593146475,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides"
"Bacteroides_stercoris",0.542439966723407,0.798742851000217,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides"
"Bacteroides_thetaiotaomicron",0.237806612259856,0.643077390399694,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides"
"Bacteroides_uniformis",0.0719604224692969,0.600750593146475,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides"
"Bacteroides_xylanisolvens",0.1180958122008,0.615561357400632,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides"
"Barnesiella_intestinihominis",0.0305836428035024,0.600750593146475,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Barnesiellaceae","Barnesiella"
"Bianquea_SGB71281",0.45147114971925,0.740636915192525,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Bianqueaceae","Bianquea"
"Bifidobacterium_adolescentis",0.484351896975548,0.773125385687257,"Bacteria","Actinobacteria","Actinomycetia","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium"
"Bifidobacterium_animalis",0.64942528467913,0.867372999265323,"Bacteria","Actinobacteria","Actinomycetia","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium"
"Bifidobacterium_bifidum",0.029154297586813,0.600750593146475,"Bacteria","Actinobacteria","Actinomycetia","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium"
"Bifidobacterium_dentium",0.855714172960135,0.95719922083375,"Bacteria","Actinobacteria","Actinomycetia","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium"
"Bifidobacterium_longum",0.512789528107835,0.783291375552983,"Bacteria","Actinobacteria","Actinomycetia","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium"
"Bifidobacterium_pseudocatenulatum",0.0762567145735116,0.600750593146475,"Bacteria","Actinobacteria","Actinomycetia","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium"
"Bilophila_wadsworthia",0.441033335132315,0.738789364291147,"Bacteria","Proteobacteria","Deltaproteobacteria","Desulfovibrionales","Desulfovibrionaceae","Bilophila"
"Bittarella_massiliensis",0.0149936790097965,0.600750593146475,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","Bittarella"
"Blautia_caecimuris",0.0795346041102784,0.600750593146475,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Blautia"
"Blautia_faecicola",0.396614833849144,0.723006410823893,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Blautia"
"Blautia_faecis",0.617087073371558,0.851561327719529,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Blautia"
"Blautia_glucerasea",0.624561137364895,0.857497692093061,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Blautia"
"Blautia_hansenii",0.652331149041685,0.86928291127953,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Blautia"
"Blautia_hydrogenotrophica",0.827052513606111,0.945884769327044,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Blautia"
"Blautia_luti",0.0030762195475808,0.309507866839084,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Blautia"
"Blautia_massiliensis",0.021254184815171,0.600750593146475,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Blautia"
"Blautia_obeum",0.670084226335977,0.87318497635374,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Blautia"
"Blautia_producta",0.204186569686768,0.63570185279367,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Blautia"
"Blautia_schinkii",0.796632723201973,0.938433347931924,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Blautia"
"Blautia_SGB101324",0.37105863169872,0.707296120256689,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Blautia"
"Blautia_SGB4815",0.149670606442948,0.623849173981767,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Blautia"
"Blautia_sp_MCC283",0.950001761137206,0.988832259693554,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Blautia"
"Blautia_sp_OF03_15BH",0.081937266953051,0.600750593146475,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Blautia"
"Blautia_stercoris",0.823212058954322,0.943346982929685,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Blautia"
"Blautia_wexlerae",0.42630687164089,0.729926591268849,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Blautia"
"Brotolimicola_acetigignens",0.772092981074013,0.932466105746319,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Brotolimicola"
"Butyricicoccus_intestinisimiae",0.251099737092153,0.650512032222878,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Clostridiaceae","Butyricicoccus"
"Butyricimonas_faecihominis",0.507799668883133,0.783291375552983,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Odoribacteraceae","Butyricimonas"
"Butyricimonas_paravirosa",0.333498755224007,0.690000859087193,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Odoribacteraceae","Butyricimonas"
"Butyricimonas_virosa",0.0993436475581767,0.611945762102077,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Odoribacteraceae","Butyricimonas"
"Candidatus_Cibionibacter_quicibialis",0.873335428320238,0.963285706518015,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Eubacteriales_incertae_sedis","Candidatus_Cibionibacter"
"Candidatus_Gastranaerophilales_bacterium",0.363355385738348,0.704713270645808,"Bacteria","Candidatus_Melainabacteria","Candidatus_Melainabacteria_unclassified","Candidatus_Gastranaerophilales","Candidatus_Gastranaerophilales_unclassified","Candidatus_Gastranaerophilales_unclassified"
"Catenibacillus_scindens",0.237293345628815,0.643077390399694,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Catenibacillus"
"Catenibacterium_tridentinum",0.777767565441831,0.934908359275996,"Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Coprobacillaceae","Catenibacterium"
"Christensenella_hongkongensis",0.214294352660395,0.63570185279367,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Christensenellaceae","Christensenella"
"Christensenella_minuta",0.0386597652046559,0.600750593146475,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Christensenellaceae","Christensenella"
"Christensenella_sp_Marseille_P3954",0.184611088761123,0.63570185279367,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Christensenellaceae","Christensenella"
"Christensenella_timonensis",0.10940630764148,0.611945762102077,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Christensenellaceae","Christensenella"
"Christensenellaceae_bacterium",0.0900604089045216,0.611945762102077,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Christensenellaceae","Christensenellaceae_unclassified"
"Cloacibacillus_evryensis",0.167801203299636,0.623849173981767,"Bacteria","Synergistetes","Synergistia","Synergistales","Synergistaceae","Cloacibacillus"
"Clostridia_bacterium_UC5_1_1D1",0.0195683298975472,0.600750593146475,"Bacteria","Firmicutes","Clostridia","Clostridia_unclassified","Clostridia_unclassified","Clostridia_unclassified"
"Clostridiaceae_bacterium",0.0393611074610374,0.600750593146475,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Clostridiaceae","Clostridiaceae_unclassified"
"Clostridiaceae_bacterium_AF18_31LB",0.456879921906756,0.745435662058391,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Clostridiaceae","Clostridiaceae_unclassified"
"Clostridiaceae_bacterium_Marseille_Q4143",0.93267937584658,0.988832259693554,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Clostridiaceae","Clostridiaceae_unclassified"
"Clostridiaceae_bacterium_Marseille_Q4149",0.14122129805139,0.623849173981767,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Clostridiaceae","Clostridiaceae_unclassified"
"Clostridiaceae_unclassified_SGB15090",0.0115181187199047,0.600750593146475,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Clostridiaceae","Clostridiaceae_unclassified"
"Clostridiaceae_unclassified_SGB4771",0.153222969507669,0.623849173981767,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Clostridiaceae","Clostridiaceae_unclassified"
"Clostridiales_bacterium",0.161903394853927,0.623849173981767,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Eubacteriales_unclassified","Eubacteriales_unclassified"
"Clostridiales_bacterium_KLE1615",0.518209203959351,0.78479932590668,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Eubacteriales_unclassified","Eubacteriales_unclassified"
"Clostridiales_bacterium_Marseille_P2846",0.0016540497381114,0.272811938194178,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Eubacteriales_unclassified","Eubacteriales_unclassified"
"Clostridium_disporicum",0.811154779538478,0.943346982929685,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Clostridiaceae","Clostridium"
"Clostridium_fessum",0.268935352219927,0.653917258325676,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Clostridiaceae","Clostridium"
"Clostridium_innocuum",0.203806633260003,0.63570185279367,"Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Erysipelatoclostridium"
"Clostridium_leptum",0.077008942984581,0.600750593146475,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","Oscillospiraceae_unclassified"
"Clostridium_methylpentosum",0.242298890524989,0.643077390399694,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","Oscillospiraceae_unclassified"
"Clostridium_saccharogumia",0.103481508434349,0.611945762102077,"Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Erysipelatoclostridium"
"Clostridium_saudiense",0.209792831684373,0.63570185279367,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Clostridiaceae","Clostridium"
"Clostridium_scindens",0.256842020626637,0.650512032222878,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Lachnoclostridium"
"Clostridium_SGB47280",0.938558309846428,0.988832259693554,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Clostridiaceae","Clostridium"
"Clostridium_SGB4750",0.581151365329498,0.831855087160077,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Clostridiaceae","Clostridium"
"Clostridium_SGB6173",0.329032616267513,0.690000859087193,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Clostridiaceae","Clostridium"
"Clostridium_SGB6179",0.414337082332572,0.727400925838693,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Clostridiaceae","Clostridium"
"Clostridium_sp_AF20_17LB",0.285684826587349,0.672625144474007,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Clostridiaceae","Clostridium"
"Clostridium_sp_AF36_4",0.969809047912853,0.992763074938443,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Clostridiaceae","Clostridium"
"Clostridium_sp_AM22_11AC",0.705656275459637,0.893831282248873,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Clostridiaceae","Clostridium"
"Clostridium_sp_AM33_3",0.264828505562933,0.653917258325676,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Clostridiaceae","Clostridium"
"Clostridium_sp_AM49_4BH",0.351195795682913,0.691820480458982,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Clostridiaceae","Clostridium"
"Clostridium_sp_AT4",0.590628069668518,0.835157424817716,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Clostridiaceae","Clostridium"
"Clostridium_sp_Marseille_P3244",0.207912428197723,0.63570185279367,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Clostridiaceae","Clostridium"
"Clostridium_sp_NSJ_42",0.814608035734067,0.943346982929685,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Clostridiaceae","Clostridium"
"Clostridium_spiroforme",0.346766991464667,0.690019452610436,"Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Erysipelatoclostridium"
"Clostridium_symbiosum",0.126394213632633,0.622636244739282,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Lachnoclostridium"
"Collinsella_aerofaciens",0.000164325237224924,0.0967875647254802,"Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Coriobacteriaceae","Collinsella"
"Collinsella_sp_AF08_23",0.156961990584231,0.623849173981767,"Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Coriobacteriaceae","Collinsella"
"Collinsella_stercoris",0.476308285772577,0.770131191329182,"Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Coriobacteriaceae","Collinsella"
"Collinsella_tanakaei",0.177042255806442,0.63570185279367,"Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Coriobacteriaceae","Collinsella"
"Congzhengia_minquanensis",0.0245669438914001,0.600750593146475,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","Congzhengia"
"Coprococcus_catus",0.802980669224904,0.940522077368175,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Coprococcus"
"Coprococcus_comes",0.693784710404755,0.884500420840695,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Coprococcus"
"Coprococcus_eutactus",0.785940718827724,0.938433347931924,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Coprococcus"
"Coprococcus_SGB106014",0.615341716484629,0.851561327719529,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Coprococcus"
"Coprococcus_sp_AF21_14LB",0.94700749872102,0.988832259693554,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Coprococcus"
"Cuneatibacter_sp_NSJ_177",0.033757966890415,0.600750593146475,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Cuneatibacter"
"Desulfovibrio_desulfuricans",0.713565624454534,0.898055882059232,"Bacteria","Proteobacteria","Deltaproteobacteria","Desulfovibrionales","Desulfovibrionaceae","Desulfovibrio"
"Desulfovibrio_fairfieldensis",0.511757904968536,0.783291375552983,"Bacteria","Proteobacteria","Deltaproteobacteria","Desulfovibrionales","Desulfovibrionaceae","Desulfovibrio"
"Dialister_invisus",0.339400765343243,0.690000859087193,"Bacteria","Firmicutes","Negativicutes","Veillonellales","Veillonellaceae","Dialister"
"Dielma_fastidiosa",0.138674216514599,0.623849173981767,"Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Dielma"
"Diplocloster_agilis",0.343492106840291,0.690000859087193,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Diplocloster"
"Dorea_formicigenerans",0.204191732372468,0.63570185279367,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Dorea"
"Dorea_longicatena",0.845609125490593,0.955976535343492,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Dorea"
"Dorea_phocaeensis",0.662515091947247,0.873180768802188,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Dorea"
"Dorea_sp_AF36_15AT",0.539835685428892,0.796900297537888,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Dorea"
"Dysosmobacter_sp_Marseille_Q4140",0.411645553098114,0.727400925838693,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","Dysosmobacter"
"Dysosmobacter_welbionis",0.697511104999923,0.885418191476196,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","Dysosmobacter"
"Eggerthella_lenta",0.0843540664216558,0.600750593146475,"Bacteria","Actinobacteria","Coriobacteriia","Eggerthellales","Eggerthellaceae","Eggerthella"
"Eisenbergiella_massiliensis",0.0720509619181759,0.600750593146475,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Eisenbergiella"
"Eisenbergiella_tayi",0.591274441679096,0.835157424817716,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Eisenbergiella"
"Emergencia_timonensis",0.376854642651081,0.707725101386856,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Eubacteriales_Family_XIII_Incertae_Sedis","Emergencia"
"Enorma_massiliensis",0.234511796169097,0.643077390399694,"Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Coriobacteriaceae","Enorma"
"Enterocloster_aldenensis",0.104277646670571,0.611945762102077,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Enterocloster"
"Enterocloster_asparagiformis",0.404223159875202,0.725861603997764,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Enterocloster"
"Enterocloster_bolteae",0.0389408028796243,0.600750593146475,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Enterocloster"
"Enterocloster_citroniae",0.332067056960861,0.690000859087193,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Enterocloster"
"Enterocloster_clostridioformis",0.00995526334769295,0.600750593146475,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Enterocloster"
"Enterocloster_hominis",0.278304213174066,0.662866583893095,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Enterocloster"
"Enterocloster_lavalensis",0.0584805565568853,0.600750593146475,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Enterocloster"
"Enterococcus_faecalis",0.105494966303525,0.611945762102077,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus"
"Erysipelatoclostridium_ramosum",0.114703047987734,0.611945762102077,"Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Erysipelatoclostridium"
"Escherichia_coli",0.506819896299238,0.783291375552983,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Escherichia"
"Eubacteriaceae_bacterium",0.206999976233368,0.63570185279367,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Eubacteriaceae","Eubacteriaceae_unclassified"
